input,output
GAO assessment: Federal Efforts to Address PFAS Contamination at Military Installations.,Report
"Preserving the biological diversity of the nation by enacting stricter protections for at-risk wildlife and the natural ecosystems they inhabit.",Bill
"Upgrading the national postal infrastructure to better accommodate the logistics and delivery demands of the rapidly growing e-commerce sector.",Bill
"Lowering the financial burden on patients by empowering federal agencies to negotiate directly with manufacturers for reduced prescription drug costs.",Bill
"Implementing a comprehensive national framework that guarantees workers access to paid time off for family care and serious medical conditions.",Bill
"Fighting the global crisis of human exploitation by imposing more rigorous criminal sentences and enhancing enforcement against trafficking networks.",Bill
"Encouraging the transition to a green economy by mandating the integration of solar, wind, and other renewable power sources in all federal facilities.",Bill
"Bolstering the digital defenses of the country’s essential services, such as power grids and water systems, against sophisticated cyberattacks.",Bill
"Granting the necessary federal authorizations to release emergency financial assistance for communities recovering from devastating natural disasters.",Bill
"Restructuring the immigration judiciary to address current backlogs and ensure a more efficient and equitable process for legal adjudication.",Bill
"Promoting cultural enrichment by increasing federal support for educational programs focused on the fine arts, history, and the humanities.",Bill
"Accelerating the adoption of sustainable transport by financing the expansion of electric vehicle fleets and the national charging network.",Bill
"Toughening existing competition statutes to prevent massive technology corporations from engaging in anti-competitive or monopolistic market behaviors.",Bill
"Ensuring that every child in the country has the opportunity to succeed by establishing a system for free, high-quality universal pre-kindergarten.",Bill
"Reinforcing legal safeguards for public employees who risk their careers to report corruption, waste, or mismanagement within government agencies.",Bill
"Investing in a modern, interconnected transportation network by funding the development of high-speed rail corridors across all major regions.",Bill
"Enhancing the public accountability of the central banking system through new requirements for financial disclosure and transparent decision-making.",Bill
U.S. Government Accountability Office – High-Risk Series: Progress on Selected Areas.,Report
Office of Science and Technology Policy – National Strategy for Biotechnology.,Report
Department of Transportation – National Freight Strategic Plan Update 2026.,Report
Congressional Research Service – U.S. Sanctions on Russia: Effectiveness and Evolving Policy.,Report
Hearing before the House Select Committee on the Strategic Competition Between the U.S. and China.,Hearing
"Senate Committee on Banking, Housing, and Urban Affairs hearing: Stablecoins and Digital Dollar Implications.",Hearing
Joint hearing: Cybersecurity Posture of the U.S. Financial Sector – 2026 Assessment.,Hearing
Subcommittee on Intelligence and Counterterrorism hearing: Domestic Violent Extremism Trends.,Hearing
"Committee on Science, Space, and Technology hearing: The State of Quantum Information Science.",Hearing
Full Committee hearing: monitoring of the Federal Trade Commission’s Antitrust Enforcement.,Hearing
Hearing entitled “Extreme Heat Events: Public Health and Infrastructure Readiness.”,Hearing
Subcommittee on Environment hearing: Reviewing EPA’s PFAS Strategic Roadmap Progress.,Hearing
Joint Economic Committee hearing: Labor Market Recovery and Wage Growth in 2026.,Hearing
Committee on Foreign Affairs hearing: U.S. Policy Toward Taiwan in Light of Regional Tensions.,Hearing
Legislation to To allocate emergency funding for wildfire prevention and suppression in high-risk western states.,Bill
Legislation to require automatic voter registration when individuals obtain or renew a driver's license.,Bill
A proposed law to to expand the child tax credit and make it fully refundable for low-income families.,Bill
To amend the Fair Labor Standards Act to raise the federal minimum wage to $17 by 2030.,Bill
An act to To establish a federal ban on assault weapons and high-capacity magazines.,Bill
Legislation providing tax incentives for companies that relocate manufacturing back to the U.S.,Bill
Draft law to to fund universal school meals in all public K-12 schools.,Bill
To strengthen federal monitoring of cryptocurrency exchanges and stablecoin issuers.,Bill
Draft law to To create a national paid sick leave standard for all workers.,Bill
Legislation to invest in tribal sovereignty and infrastructure on Native American reservations.,Bill
An act to to reform qualified immunity for law enforcement officers.,Bill
To authorize increased funding for the National Park Service maintenance backlog.,Bill
An act to To prohibit algorithmic discrimination in hiring and lending practices.,Bill
Legislation establishing a federal right to repair for consumer electronics and farm equipment.,Bill
An act to to expand access to mental health services through telehealth parity.,Bill
To require large corporations to publicly disclose their effective tax rates.,Bill
Legislation to To fund research and deployment of next-generation nuclear reactor technologies.,Bill
Legislation to protect reproductive health care access nationwide.,Bill
An act to to create a federal database of police misconduct records.,Bill
To amend immigration law to increase family-based visa caps and reduce backlogs.,Bill
Presidential directive on Accelerating the Deployment of Offshore Wind Energy Projects.,Executive Order
Order by the President directing the creation of a National Strategy for Electric Grid Modernization.,Executive Order
It is hereby ordered that federal agencies shall adopt zero-emission vehicle fleets by 2035.,Executive Order
Cabinet order 142xx – Enhancing Federal Support for Historically Black Colleges and Universities.,Executive Order
Order requiring transparency in federal use of commercial satellite imagery.,Executive Order
Cabinet order on Advancing Gender Equity and Equality Across Federal Programs.,Executive Order
"By the authority vested in me, agencies shall prioritize hiring of veterans and military spouses.",Executive Order
"White House order to combat illegal, unreported, and unregulated fishing in U.S. waters.",Executive Order
Order establishing the National Space Council Working Group on Orbital Debris Mitigation.,Executive Order
Cabinet order on Protecting Americans from Predatory Lending Practices.,Executive Order
GAO-26-109345: Persistent Delays in VA Claims Processing Despite Modernization Efforts.,Report
periodic report to Congress: U.S. Intelligence Community Budget Justification – Fiscal Year 2027.,Report
Congressional Budget Office – Long-Term Budgetary Effects of Climate Change Impacts.,Report
Department of Homeland Security – 2026 Homeland Threat Assessment.,Report
"National Academies of Sciences – analysis of the Future of Work, Technology, and Automation.",Report
Government Accountability Office report: Effectiveness of Federal Housing Assistance Programs Post-Pandemic.,Report
U.S. Trade Representative – 2026 National Trade Estimate analysis of Foreign Trade Barriers.,Report
Department of Energy – Annual Energy Outlook 2027 Projections.,Report
Office of Personnel Management – Federal Employee Viewpoint Survey Results 2026.,Report
Congressional Research Service – U.S. Foreign Assistance: Overview and Policy Issues.,Report
Hearing before the Senate Judiciary Committee: review of Big Tech Content Moderation Practices.,Hearing
House Committee on Ways and Means hearing: Tax Policy Options to Address Income Inequality.,Hearing
Joint hearing: National Security Implications of Quantum Computing Advancements.,Hearing
CRS Analysis: Evaluating federal assistance frameworks for state and municipal police departments.,Report
Homeland Security Committee proceedings on the protection of vital infrastructure against burgeoning cyber threats.,Hearing
Senate Finance Committee inquiry into the cost of prescription medications and healthcare accessibility.,Hearing
Joint session of the House and Senate Armed Services Committees regarding U.S. strategic positioning in the Indo-Pacific.,Hearing
Economic Policy Subcommittee session discussing labor market shifts driven by automation and artificial intelligence.,Hearing
supervision hearing examining the FBI’s current strategies for investigating domestic terrorism.,Hearing
Energy and Commerce Committee session on consumer data protection for internet-connected hardware.,Hearing
Full Committee monitoring regarding the execution and impact of the CHIPS and Science Act.,Hearing
Hearing focused on climate resilience strategies derived from recent natural disasters.,Hearing
Subcommittee on Health investigation into the youth mental health crisis and federal intervention gaps.,Hearing
Joint Economic Committee briefing on 2026 monetary policy and inflationary trajectories.,Hearing
Draft law to Mandating federal safety testing protocols for AI systems prior to public release.,Bill
Legislation aimed at extending Pell Grant eligibility to include rapid workforce certification programs.,Bill
"To modify the Federal Food, Drug, and Cosmetic Act to expedite the market entry of biosimilars.",Bill
An act to authorizing the restoration of coastal marshlands to mitigate the impact of storm surges.,Bill
Draft law to Compelling federal contractors to provide annual reports on their carbon footprint.,Bill
To initiate a national database for tracking law enforcement use-of-force occurrences.,Bill
Draft law to to strengthen inspection and safety requirements for imported food products.,Bill
Legislation providing resources for the expansion of community-based policing models.,Bill
An act to to increase the availability of pro bono legal services for low-income citizens.,Bill
To facilitate global trade pacts that incorporate enforceable labor rights.,Bill
An act to to combat the opioid crisis through expanded addiction treatment grants.,Bill
Legislation dedicated to the conservation of national parks and federally managed lands.,Bill
An act to to modernize air traffic control systems and enhance flight safety.,Bill
To allocate emergency funding for national pandemic readiness and response.,Bill
An act to to restructure Social Security to ensure its financial viability for future generations.,Bill
An act to Offering tax incentives for small enterprises struggling with global supply chain delays.,Bill
To update Title 18 of the U.S. Code to increase sentencing for cyberattacks on essential services.,Bill
Legislation defining a national roadmap for the rollout of electric vehicle charging networks.,Bill
Draft law to to simplify federal student debt repayment and lower the financial strain on graduates.,Bill
To approve FY2026 budget allocations for Department of Veterans Affairs healthcare services.,Bill
An act to Ensuring election integrity through mandated paper audit trails in federal voting.,Bill
To broaden Medicare benefits to encompass dental care and hearing assistance for the elderly.,Bill
Legislation to tighten regulations on the exportation of high-end semiconductor chips.,Bill
Legislation to to establish a federal tax incentive for firms providing paid parental and medical leave.,Bill
White House order on Promoting Responsible Artificial Intelligence Development and Use.,Executive Order
Order by the President directing federal agencies to adopt privacy-by-design principles in new systems.,Executive Order
It is hereby ordered that the federal government shall achieve 100% clean electricity by 2030.,Executive Order
Order by the President 143xx – Strengthening Protections Against Deepfakes and Synthetic Media.,Executive Order
Order requiring annual cybersecurity audits for all federal information systems.,Executive Order
Cabinet order on Advancing Environmental Justice in Federal Decision-Making.,Executive Order
"By the authority vested in me, agencies shall prioritize procurement from small disadvantaged businesses.",Executive Order
Order by the President to combat wildlife trafficking and illegal logging globally.,Executive Order
Order establishing an Interagency Working Group on Emerging Biotechnology Risks.,Executive Order
Order by the President on Enhancing Federal Support for Tribal Self-Governance.,Executive Order
GAO-27-110234: Federal Agencies Lag in Adopting Modern Cloud Security Controls.,Report
year-end report of the U.S. Commission on International Religious Freedom – 2026.,Report
Congressional Budget Office – The 2027 Long-Term Budget Outlook.,Report
Department of Defense – fiscal-year review of China Military Power 2026.,Report
National Institute of Standards and Technology – Cybersecurity Framework 2.0 Implementation Status.,Report
watchdog report: Challenges in Federal Acquisition of Innovative Technologies.,Report
U.S. Government Accountability Office – High-Risk List Update: Information Technology Acquisitions.,Report
Department of Energy – Critical Materials Strategy 2026.,Report
Office of Management and Budget – Federal Information Technology Acquisition Reform Act Dashboard.,Report
Congressional Research Service – Overview of U.S. Foreign Aid to Ukraine and Israel.,Report
Hearing before the Senate Select Committee on Intelligence: Worldwide Threat Assessment 2026.,Hearing
House Committee on scrutiny and Accountability hearing: Federal Agency Compliance with FOIA.,Hearing
Joint hearing: Space Domain Awareness and Orbital Congestion in Low Earth Orbit.,Hearing
Subcommittee on National Security hearing: Countering Foreign Influence Operations.,Hearing
Committee on Energy and Natural Resources hearing: Offshore Wind Development Permitting Delays.,Hearing
Full Committee hearing: review of the Securities and Exchange Commission.,Hearing
Hearing entitled “Heat Waves and Public Health: Building Resilience in Urban Areas.”,Hearing
Subcommittee on Intelligence hearing: Emerging Threats from Hypersonic Weapons.,Hearing
Joint Economic Committee hearing: Productivity Growth and AI Adoption in the U.S. Economy.,Hearing
Committee on Veterans' Affairs hearing: Improving Access to Toxic Exposure Health Care.,Hearing
Draft law to To establish a federal grant program for community-led climate adaptation projects in vulnerable coastal areas.,Bill
Legislation to require large tech companies to conduct independent audits of algorithmic bias.,Bill
An act to to expand the Earned Income Tax Credit for childless workers and young adults.,Bill
To amend federal law to protect reproductive health data privacy post-Roe v. Wade landscape.,Bill
A proposed law to To fund accelerated deployment of carbon capture utilization and storage (CCUS) technologies.,Bill
Legislation creating a federal Office of Supply Chain Resilience within the Department of Commerce.,Bill
Draft law to to provide tax credits for employers offering on-site child care facilities.,Bill
To strengthen federal enforcement against wage theft and misclassification of workers.,Bill
Legislation to To invest in green job training programs for formerly incarcerated individuals.,Bill
Legislation to modernize the National Flood Insurance Program with climate risk pricing.,Bill
An act to to require disclosure of corporate political spending to shareholders.,Bill
To authorize funding for expanded broadband infrastructure in tribal lands.,Bill
Draft law to To create incentives for electric heat pump adoption in residential buildings.,Bill
Legislation establishing a national standard for workplace heat safety protections.,Bill
Legislation to to expand federal funding for after-school and summer youth programs.,Bill
To reform the federal budget process to include long-term climate risk assessments.,Bill
Draft law to To protect consumer rights in event ticketing and secondary market resales.,Bill
Legislation to support regenerative agriculture practices through USDA incentives.,Bill
Legislation to to increase funding for federal wildfire mitigation on private lands.,Bill
To establish a federal commission on the future of remote and hybrid work policies.,Bill
Order by the President on Accelerating Permitting for Clean Energy Infrastructure Projects.,Executive Order
White House order directing agencies to integrate climate risk into all federal investment decisions.,Executive Order
It is hereby ordered that the federal government shall prioritize nature-based solutions for resilience.,Executive Order
Presidential directive 144xx – Advancing Digital Equity and Inclusion Nationwide.,Executive Order
Order requiring federal contractors to adopt living wage standards.,Executive Order
Cabinet order on Strengthening Federal Response to Extreme Heat Events.,Executive Order
"By the authority vested in me, agencies shall expand use of behavioral science in program design.",Executive Order
Order by the President to combat foreign interference in U.S. elections through enhanced cybersecurity.,Executive Order
"Order establishing the White House Initiative on Asian American, Native Hawaiian, and Pacific Islander Communities.",Executive Order
Presidential directive on Protecting Critical Minerals Supply Chains for Clean Energy Transition.,Executive Order
GAO-27-110987: Federal Agencies Continue to Struggle with Legacy IT System Modernization.,Report
fiscal-year report to Congress: Progress on the National Defense Strategy Implementation.,Report
Congressional Budget Office – Baseline Projections of Federal Spending and Revenues: 2028–2038.,Report
Department of State – Trafficking in Persons Report 2026.,Report
National Oceanic and Atmospheric Administration – State of the Climate 2025 Annual Summary.,Report
GAO assessment: Effectiveness of Federal Efforts to Reduce Veteran Homelessness.,Report
U.S. International Trade Commission – Economic Effects of U.S. Import Tariffs on Selected Goods.,Report
Department of Health and Human Services – Public Health Emergency Preparedness and Response Review.,Report
Office of the Director of National Intelligence – Annual Threat Assessment Update 2027.,Report
Congressional Research Service – Federal Support for State Cannabis Legalization Impacts.,Report
Hearing before the Senate Environment and Public Works Committee: Permitting Reform for Clean Energy.,Hearing
House Committee on Financial Services hearing: Stablecoin Regulation and Consumer Protection.,Hearing
Joint hearing: National Security Risks from Artificial Intelligence Arms Race.,Hearing
Subcommittee on Border Security hearing: Technology Solutions for Southern Border Challenges.,Hearing
Committee on Natural Resources hearing: Managing Public Lands in the Face of Megadroughts.,Hearing
Full Committee hearing: scrutiny of the Consumer Financial Protection Bureau.,Hearing
Hearing entitled “Cyber Threats to the Electric Grid: Preparedness and Response.”,Hearing
Subcommittee on Emerging Threats hearing: Biotechnology and National Security Implications.,Hearing
Joint Economic Committee hearing: Global Supply Chain Shocks and U.S. Manufacturing Resilience.,Hearing
Committee on Homeland Security hearing: Evaluating FEMA’s Disaster Response and Recovery Efforts.,Hearing
Legislation to To provide federal grants for retrofitting public buildings with energy-efficient systems and solar panels.,Bill
Legislation to establish a national database for tracking antibiotic-resistant infections in healthcare facilities.,Bill
Legislation to to expand federal funding for research into treatments for Alzheimer's disease and related dementias.,Bill
To amend federal aviation law to improve pilot training standards and fatigue management.,Bill
Legislation to To create tax incentives for companies developing sustainable packaging alternatives to plastic.,Bill
Legislation requiring annual cybersecurity training for all federal employees handling sensitive data.,Bill
A proposed law to to fund expansion of community health centers in medically underserved areas.,Bill
To strengthen federal penalties for wildlife poaching and illegal trade in endangered species.,Bill
Legislation to To invest in advanced manufacturing hubs focused on robotics and automation.,Bill
Legislation to protect ocean ecosystems through stricter regulation of deep-sea mining.,Bill
Legislation to to require large financial institutions to stress-test for climate-related financial risks.,Bill
To authorize additional funding for the National Endowment for the Arts and Humanities.,Bill
Legislation to To establish a federal program supporting electric school bus transition in low-income districts.,Bill
Legislation to reform federal contracting rules to prioritize unionized labor.,Bill
A proposed law to to expand eligibility for federal Pell Grants to include incarcerated students in prison education programs.,Bill
To create a national commission on the future of Social Security solvency and benefits.,Bill
Legislation to To fund restoration and protection of coral reefs impacted by warming oceans.,Bill
Legislation to prohibit the use of federal funds for solitary confinement exceeding 15 days.,Bill
Draft law to to support innovation in hydrogen fuel cell technology for heavy-duty transportation.,Bill
To amend copyright law to expand fair use for educational and research purposes in the digital age.,Bill
Presidential directive on Building a Resilient National Electric Grid Against Extreme Weather and Cyber Threats.,Executive Order
Cabinet order directing agencies to incorporate Indigenous knowledge into federal environmental decisions.,Executive Order
It is hereby ordered that federal procurement shall prioritize products with recycled and sustainable materials.,Executive Order
Cabinet order 145xx – Advancing Equity for Women and Girls in STEM Education and Careers.,Executive Order
"Order requiring federal agencies to publish annual diversity, equity, and inclusion progress reports.",Executive Order
Cabinet order on Strengthening Protections for Farmworkers and Agricultural Labor Rights.,Executive Order
"By the authority vested in me, the federal government shall lead global efforts to phase out single-use plastics.",Executive Order
White House order to enhance federal coordination on pandemic preparedness and vaccine equity.,Executive Order
Order establishing an Interagency Task Force on Responsible Use of Facial Recognition Technology.,Executive Order
White House order on Promoting Civic Education and Engagement Among Young Americans.,Executive Order
GAO-28-111456: Federal Agencies Face Ongoing Challenges in Managing Cybersecurity Risks to Operational Technology.,Report
periodic report to Congress: Implementation of the National Quantum Initiative Act.,Report
Congressional Budget Office – The Economic Effects of Immigration Policy Changes: 2028–2038.,Report
Department of Justice – Civil Rights Division Annual Enforcement Report 2026.,Report
National Institutes of Health – Strategic Plan for Research on Minority Health and Health Disparities 2026–2030.,Report
Government Accountability Office report: Progress and Challenges in Federal Efforts to Reduce Plastic Pollution.,Report
U.S. Government Accountability Office – High-Risk Series Update: Managing Federal Real Property.,Report
Department of Commerce – SelectUSA Investment Report: Foreign Direct Investment Trends 2026.,Report
Office of Management and Budget – Government-wide Category Management analysis of IT Spending.,Report
Congressional Research Service – U.S. Relations with North Korea: Policy Options and Challenges.,Report
Hearing before the Senate Armed Services Committee: Posture of U.S. Indo-Pacific Command in 2026.,Hearing
House Committee on Education and the Workforce hearing: Teacher Shortages and Retention Strategies.,Hearing
Joint hearing: Emerging Technologies and National Security – Focus on Directed Energy Weapons.,Hearing
"Subcommittee on Oceans hearing: Illegal, Unreported, and Unregulated Fishing Impacts on U.S. Fisheries.",Hearing
Committee on Agriculture hearing: Farm Bill Reauthorization – Nutrition and Conservation Programs.,Hearing
Full Committee hearing: review of the National Institutes of Health Budget and Priorities.,Hearing
Hearing entitled “Building Workforce Resilience in the Face of Automation and AI.”,Hearing
Subcommittee on Transportation hearing: Freight Rail Safety and Infrastructure Investment Needs.,Hearing
Joint Economic Committee hearing: Fiscal Policy Options in an Aging Society.,Hearing
Committee on Foreign Relations hearing: U.S. Strategy Toward Iran and Regional Stability.,Hearing
"A proposed law to To allocate substantial federal funding for the nationwide replacement of lead service lines in drinking water systems, prioritizing environmental justice communities and schools, with mandatory timelines for completion by 2035 and annual reporting requirements to Congress on progress and health impact assessments.",Bill
"Legislation to comprehensively reform the federal student loan system by introducing income-based repayment plans with automatic forgiveness after 10 years of qualifying payments, eliminating interest accrual during enrollment, and establishing a one-time debt relief program for borrowers who have repaid for 20 years or more without default.",Bill
"Legislation to to establish a National Commission on Gun Violence Prevention, composed of experts in public health, law enforcement, mental health, and community leaders, tasked with producing a comprehensive report within 18 months including evidence-based policy recommendations on background checks, red flag laws, safe storage requirements, and assault weapons restrictions.",Bill
"To amend the Clean Air Act to impose stricter national ambient air quality standards for fine particulate matter (PM2.5) and ozone, require accelerated phase-down of hydrofluorocarbons (HFCs), and provide transition assistance grants to industries affected by the updated regulations.",Bill
"A proposed law to To create a federal paid family and medical leave insurance program funded through a shared payroll contribution between employers and employees, providing up to 12 weeks of partial wage replacement for bonding with a new child, caring for a seriously ill family member, or personal serious health conditions, with job protection provisions.",Bill
"Legislation to strengthen antitrust enforcement by lowering thresholds for merger reviews, creating a presumption against mergers that significantly increase market concentration, empowering state attorneys general to challenge mergers, and increasing penalties for anticompetitive conduct by dominant digital platforms.",Bill
"Legislation to to expand Medicare to cover comprehensive dental, vision, and hearing services for all beneficiaries, with phased implementation starting with low-income seniors, and funding through a combination of negotiated drug prices savings and a modest premium adjustment for higher-income enrollees.",Bill
"To authorize appropriations exceeding $50 billion over five years for domestic semiconductor manufacturing, advanced packaging facilities, workforce training programs, and research and development in next-generation chip technologies under an expanded CHIPS and Science Act framework.",Bill
